null;1;1;RECTORADO
null;1;2;OFICINA DE ENLACE
null;2;1;NUCLEO DE SUCRE - CUMANA
null;3;1;NUCLEO ANZOATEGUI -PTO LA CRUZ
null;4;1;NUCLEO DE MONAGAS- JUSEPIN
null;4;2;NUCLEO DE MONAGAS- MATURIN
null;5;1;NUCLEO DE BOLIVAR LA SABANITA
null;5;2;MEDICINA
null;5;3;PTO ORDAZ
null;6;1;GUATAMARE
null;6;2;BOCA DE RIO
null;6;3;PORLAMAR
null;5;4;CAICARA DEL ORINOCO
null;2;2;NUCLEO SUCRE -CARÚPANO
null;3;2;NUCLEO ANZOATEGUI - ANACO
null;3;3;NUCLEO ANZOATEGUI - CANTAURA
null;2;3;INSTITUTO OCEANOGRÁFICO DE VZLA.
null;1;3;DIRECCION DE CULTURA
null;1;5;ASMOE
